Name,Scholar Link,DOI,Bibtex,PDF Name,Year,Scholar page,Journal,Downloaded,Downloaded from,Authors
Fly Cell Atlas: a single-cell transcriptomic atlas of the adult fruit fly,,10.1101/2021.07.04.451050,True,,2021,,Cold Spring Harbor Laboratory,False,,Hongjie Li and Jasper Janssens and Maxime De Waegeneer and Sai Saroja Kolluru and Kristofer Davie and Vincent Gardeux and Wouter Saelens and Fabrice David and Maria Brbi{\'{c}} and Jure Leskovec and Colleen N. McLaughlin and Qijing Xie and Robert C. Jones and Katja Brueckner and Jiwon Shim and Sudhir Gopal Tattikota and Frank Schnorrer and Katja Rust and Todd G. Nystul and Zita Carvalho-Santos and Carlos Ribeiro and Soumitra Pal and Teresa M. Przytycka and Aaron M. Allen and Stephen F. Goodwin and Cameron W. Berry and Margaret T. Fuller and Helen White-Cooper and Erika L. Matunis and Stephen DiNardo and Anthony Galenza and Lucy Erin O'Brien and Julian A. T. Dow and Heinrich Jasper and Brian Oliver and Norbert Perrimon and Bart Deplancke and Stephen R. Quake and Liqun Luo and Stein Aerts and
Key molecular alterations in endothelial cells in human glioblastoma uncovered through single-cell RNA sequencing,,10.1172/JCI.INSIGHT.150861,True,,2021,,{JCI} Insight,False,,Yuan Xie and Liqun He and Roberta Lugano and Yanyu Zhang and Haiyan Cao and Qiyuan He and Min Chao and Boxuan Liu and Qingze Cao and Jianhao Wang and Yang Jiao and Yaqin Hu and Liying Han and Yong Zhang and Hua Huang and Lene Uhrbom and Christer Betsholtz and Liang Wang and Anna Dimberg and Lei Zhang
Multimodal single-cell analysis of cutaneous T-cell lymphoma reveals distinct subclonal tissue-dependent signatures,,10.1182/blood.2020009346,True,,2021,,Blood,False,,Alberto Herrera and Anthony Cheng and Eleni P. Mimitou and Angelina Seffens and Dean George and Michal Bar-Natan and Adriana Heguy and Kelly V. Ruggles and Jose U. Scher and Kenneth Hymes and Jo-Ann Latkowski and Niels {\O}dum and Marshall E. Kadin and Zhengqing Ouyang and Larisa J. Geskin and Peter Smibert and Terkild B. Buus and Sergei B. Koralov
Single-cell profiling of the human primary motor cortex in ALS and FTLD,,10.1101/2021.07.07.451374,True,,2021,,Cold Spring Harbor Laboratory,False,,S. Sebastian Pineda and Hyeseung Lee and Brent E. Fitzwalter and Shahin Mohammadi and Luc J. Pregent and Mahammad E. Gardashli and Julio Mantero and Erica Engelberg-Cook and Mariely DeJesus-Hernandez and Marka van Blitterswijk and Cyril Pottier and Rosa Rademakers and Bjorn Oskarsson and Jaimin S. Shah and Ronald C. Petersen and Neill R. Graff-Radford and Bradley F. Boeve and David S. Knopman and Keith A. Josephs and Michael DeTure and Melissa E. Murray and Dennis W. Dickson and Myriam Heiman and Veronique V. Belzil and Manolis Kellis
Single-nucleus chromatin accessibility and transcriptomic characterization of Alzheimer’s disease,,10.1038/s41588-021-00894-z,True,Single-nucleus chromatin accessibility and transcriptomic characterization of Alzheimer_s disease.pdf,2021,,Nature Genetics,True,SciHub,Samuel Morabito and Emily Miyoshi and Neethu Michael and Saba Shahin and Alessandra Cadete Martini and Elizabeth Head and Justine Silva and Kelsey Leavy and Mari Perez-Rosendahl and Vivek Swarup
High-grade serous tubo-ovarian cancer refined with single-cell RNA sequencing: specific cell subtypes influence survival and determine molecular subtype classification,,10.1186/s13073-021-00922-x ,True,,2021,,Genome Medicine,False,,Siel Olbrecht and Pieter Busschaert and Junbin Qian and Adriaan Vanderstichele and Liselore Loverix and Toon Van Gorp and Els Van Nieuwenhuysen and Sileny Han and Annick Van den Broeck and An Coosemans and Anne-Sophie Van Rompuy and Diether Lambrechts and Ignace Vergote
Scalable full-transcript coverage single cell RNA sequencing with Smart-seq3xpress,,10.1101/2021.07.10.451889,True,,2021,,Cold Spring Harbor Laboratory,False,,Michael Hagemann-Jensen and Christoph Ziegenhain and Rickard Sandberg
Single-nucleus RNA-seq2 reveals functional crosstalk between liver zonation and ploidy,,10.1038/s41467-021-24543-5,True,,2021,,Nature Communications,False,,M. L. Richter and I. K. Deligiannis and K. Yin and A. Danese and E. Lleshi and P. Coupland and C. A. Vallejos and K. P. Matchett and N. C. Henderson and M. Colome-Tatche and C. P. Martinez-Jimenez
Single-cell profiling of CNS border compartment leukocytes reveals that B cells and their progenitors reside in non-diseased meninges,,10.1038/s41593-021-00880-y,True,,2021,,Nature Neuroscience,False,,David Schafflick and Jolien Wolbert and Michael Heming and Christian Thomas and Maike Hartlehnert and Anna-Lena BÃ¶rsch and Alessio Ricci and Sandra Mart{\'{\i}}n-Salamanca and Xiaolin Li and I-Na Lu and Mathias Pawlak and Jens Minnerup and Jan-Kolja Strecker and Thomas Seidenbecher and Sven G. Meuth and Andres Hidalgo and Arthur Liesz and Heinz Wiendl and Gerd Meyer zu Horste
Cell competition acts as a purifying selection to eliminate cells with mitochondrial defects during early mouse development,,10.1038/s42255-021-00422-7,True,,2021,,Nature Metabolism,False,,Ana Lima and Gabriele Lubatti and JÃ¶rg Burgstaller and Di Hu and Alistair P. Green and Aida Di Gregorio and Tamzin Zawadzki and Barbara Pernaute and Elmir Mahammadov and Salvador Perez-Montero and Marian Dore and Juan Miguel Sanchez and Sarah Bowling and Margarida Sancho and Thomas Kolbe and Mohammad M. Karimi and David Carling and Nick Jones and Shankar Srinivas and Antonio Scialdone and Tristan A. Rodriguez
Single-cell multi-omic analysis of thymocyte development reveals drivers of CD4/CD8 lineage commitment,,10.1101/2021.07.12.452119,True,,2021,,Cold Spring Harbor Laboratory,False,,ZoÃ« Steier and Dominik A. Aylard and Laura L. McIntyre and Isabel Baldwin and Esther Jeong Yoon Kim and Lydia K. Lutes and Can Ergen and Tse-Shun Huang and Ellen A. Robey and Nir Yosef and Aaron Streets
Lightning Fast and Highly Sensitive Full-Length Single-cell sequencing using FLASH-Seq,,10.1101/2021.07.14.452217,True,,2021,,Cold Spring Harbor Laboratory,False,,Vincent Hahaut and Dinko Pavlinic and Cameron Cowan and Simone Picelli
"A Preliminary Single-Cell RNA-Seq Analysis of Embryonic Cells That Express Brachyury in the Amphioxus, Branchiostoma japonicum",,10.3389/fcell.2021.696875,True,,2021,,Frontiers in Cell and Developmental Biology,False,,Noriyuki Satoh and Hitoshi Tominaga and Masato Kiyomoto and Kanako Hisata and Jun Inoue and Koki Nishitsuji
Differential Expression Levels of Sox9 in Early Neocortical Radial Glial Cells Regulate the Decision between Stem Cell Maintenance and Differentiation,,10.1523/JNEUROSCI.2905-20.2021,True,,2021,,The Journal of Neuroscience,False,,Jaime Fabra-Beser and Jessica Alves Medeiros de Araujo and Diego Marques-Coelho and Loyal A. Goff and Marcos R. Costa and Ulrich MÃ¼ller and Cristina Gil-Sanz
High-resolution single cell transcriptome analysis of zebrafish sensory hair cell regeneration,,10.1101/2021.07.15.452338,True,,2021,,Cold Spring Harbor Laboratory,False,,Sungmin Baek and Nhung T. T. Tran and Daniel C. Diaz and Ya-Yin Tsai and Joaquin Navajas Acedo and Mark E. Lush and Tatjana Piotrowski
Single-cell transcriptome profiling of the human developing spinal cord reveals a conserved genetic programme with human-specific features,,10.1242/dev.199711,True,,2021,,Development,False,,Teresa Rayon and Rory J. Maizels and Christopher Barrington and James Briscoe
Specialized endothelial tip cells guide neuroretina vascularization and blood-retina-barrier formation,,10.1016/j.devcel.2021.06.021,True,Specialized endothelial tip cells guide neuroretina vascularization and blood-retina-barrier formation.pdf,2021,,Developmental Cell,True,SciHub,Georgia Zarkada and Joel P. Howard and Xue Xiao and Hyojin Park and Mathilde Bizou and Severine Leclerc and Steffen E. KÃ¼nzel and Blanche Boisseau and Jinyu Li and Gael Cagnone and Jean Sebastien Joyal and Gregor Andelfinger and Anne Eichmann and Alexandre Dubrac
The Tabula Sapiens: a multiple organ single cell transcriptomic atlas of humans,,10.1101/2021.07.19.452956,True,,2021,,Cold Spring Harbor Laboratory,False,,and Stephen R Quake
Single-cell genomics reveals region-specific developmental trajectories underlying neuronal diversity in the human hypothalamus,,10.1101/2021.07.20.453090,True,,2021,,Cold Spring Harbor Laboratory,False,,Brian R. Herb and Hannah J. Glover and Aparna Bhaduri and Carlo Colantuoni and Tracy L. Bale and Kimberly Siletti and Sten Linnarsson and Rebecca Hodge and Ed Lein and Arnold R. Kriegstein and Claudia A. Doege and Seth A. Ament
Transcriptional programs of neoantigen-specific TIL in anti-PD-1-treated lung cancers,,10.1038/s41586-021-03752-4,True,Transcriptional programs of neoantigen-specific TIL in anti-PD-1-treated lung cancers.pdf,2021,,Nature,True,SciHub,Justina X. Caushi and Jiajia Zhang and Zhicheng Ji and Ajay Vaghasia and Boyang Zhang and Emily Han-Chung Hsiue and Brian J. Mog and Wenpin Hou and Sune Justesen and Richard Blosser and Ada Tam and Valsamo Anagnostou and Tricia R. Cottrell and Haidan Guo and Hok Yee Chan and Dipika Singh and Sampriti Thapa and Arbor G. Dykema and Poromendro Burman and Begum Choudhury and Luis Aparicio and Laurene S. Cheung and Mara Lanis and Zineb Belcaid and Margueritta El Asmar and Peter B. Illei and Rulin Wang and Jennifer Meyers and Kornel Schuebel and Anuj Gupta and Alyza Skaist and Sarah Wheelan and Jarushka Naidoo and Kristen A. Marrone and Malcolm Brock and Jinny Ha and Errol L. Bush and Bernard J. Park and Matthew Bott and David R. Jones and Joshua E. Reuss and Victor E. Velculescu and Jamie E. Chaft and Kenneth W. Kinzler and Shibin Zhou and Bert Vogelstein and Janis M. Taube and Matthew D. Hellmann and Julie R. Brahmer and Taha Merghoub and Patrick M. Forde and Srinivasan Yegnasubramanian and Hongkai Ji and Drew M. Pardoll and Kellie N. Smith
Heterogeneity of neurons reprogrammed from spinal cord astrocytes by the proneural factors Ascl1 and Neurogenin2,,10.1016/j.celrep.2021.109409,True,Heterogeneity of neurons reprogrammed from spinal cord astrocytes by the proneural factors Ascl1 and Neurogenin2.pdf,2021,,Cell Reports,True,SciHub,J. Kempf and K. Knelles and B.A. Hersbach and D. Petrik and T. Riedemann and V. Bednarova and A. Janjic and T. Simon-Ebert and W. Enard and P. Smialowski and M. GÃ¶tz and G. Masserdotti
Human cell transformation by combined lineage conversion and oncogene expression,,10.1038/s41388-021-01940-0,True,Human cell transformation by combined lineage conversion and oncogene expression.pdf,2021,,Oncogene,True,SciHub,Biswajyoti Sahu and Päivi Pihlajamaa and Kaiyang Zhang and Kimmo Palin and Saija Ahonen and Alejandra Cervera and Ari Ristimäki and Lauri A. Aaltonen and Sampsa Hautaniemi and Jussi Taipale
Single‐cell transcriptomics reveals immune response of intestinal cell types to viral infection,,10.15252/msb.20209833,True,,2021,,Molecular Systems Biology,False,,Sergio Triana and Megan L Stanifer and Camila Metz-Zumaran and Mohammed Shahraz and Markus Mukenhirn and Carmon Kee and Clara Serger and Ronald Koschny and Diana Ordo{\~{n}}ez-Rueda and Malte Paulsen and Vladimir Benes and Steeve Boulant and Theodore Alexandrov
Single-cell RNA sequencing reveals ex vivo signatures of SARS-CoV-2-reactive T cells through ‘reverse phenotyping’,,10.1038/s41467-021-24730-4,True,Single-cell RNA sequencing reveals ex vivo signatures of SARS-CoV-2-reactive T cells through _reverse phenotyping_.pdf,2021,,Nature Communications,True,SciHub,David S. Fischer and Meshal Ansari and Karolin I. Wagner and Sebastian Jarosch and Yiqi Huang and Christoph H. Mayr and Maximilian Strunz and Niklas J. Lang and Elvira D'Ippolito and Monika Hammel and Laura Mateyka and Simone Weber and Lisa S. Wolff and Klaus Witter and Isis E. Fernandez and Gabriela Leuschner and Katrin Milger and Marion Frankenberger and Lorenz Nowak and Katharina Heinig-Menhard and Ina Koch and Mircea G. Stoleriu and Anne Hilgendorff and JÃ¼rgen Behr and Andreas Pichlmair and Benjamin Schubert and Fabian J. Theis and Dirk H. Busch and Herbert B. Schiller and Kilian Schober
Single-cell transcriptomic landscape reveals tumor specific innate lymphoid cells associated with colorectal cancer progression,,10.1016/j.xcrm.2021.100353,True,Single-cell transcriptomic landscape reveals tumor specific innate lymphoid cells associated with colorectal cancer progression.pdf,2021,,Cell Reports Medicine,True,SciHub,Jingjing Qi and Adeline Crinier and Bertrand Escali{\`{e}}re and Youqiong Ye and Zhengting Wang and Tianyu Zhang and Luciana Batista and Hongzhi Liu and Liwen Hong and Ningbo Wu and Mingnan Zhang and Lei Chen and Yingbin Liu and Lei Shen and Emilie Narni-Mancinelli and Eric Vivier and Bing Su
Molecular architecture of the developing mouse brain,,10.1038/s41586-021-03775-x,True,Molecular architecture of the developing mouse brain.pdf,2021,,Nature,True,SciHub,Gioele La Manno and Kimberly Siletti and Alessandro Furlan and Daniel Gyllborg and Elin Vinsland and Alejandro Mossi Albiach and Christoffer Mattsson Langseth and Irina Khven and Alex R. Lederer and Lisa M. Dratva and Anna Johnsson and Mats Nilsson and Peter LÃ¶nnerberg and Sten Linnarsson
An atlas of healthy and injured cell states and niches in the human kidney,,10.1101/2021.07.28.454201,True,,2021,,Cold Spring Harbor Laboratory,False,,Blue B. Lake and Rajasree Menon and Seth Winfree and Qiwen Hu and Ricardo Melo Ferreira and Kian Kalhor and Daria Barwinska and Edgar A. Otto and Michael Ferkowicz and Dinh Diep and Nongluk Plongthongkum and Amanda Knoten and Sarah Urata and Abhijit S. Naik and Sean Eddy and Bo Zhang and Yan Wu and Diane Salamon and James C. Williams and Xin Wang and Karol S. Balderrama and Paul Hoover and Evan Murray and Anitha Vijayan and Fei Chen and Sushrut S. Waikar and Sylvia Rosas and Francis P. Wilson and Paul M. Palevsky and Krzysztof Kiryluk and John R. Sedor and Robert D. Toto and Chirag Parikh and Eric H. Kim and Evan Z. Macosko and Peter V. Kharchenko and Joseph P. Gaut and Jeffrey B. Hodgin and Michael T. Eadon and Pierre C. Dagher and Tarek M. El-Achkar and Kun Zhang and Matthias Kretzler and Sanjay Jain and
"NEAT-seq: Simultaneous profiling of intra-nuclear proteins, chromatin accessibility, and gene expression in single cells",,10.1101/2021.07.29.454078,True,,2021,,Cold Spring Harbor Laboratory,False,,Amy F Chen and Benjamin Parks and Arwa S Kathiria and Benjamin Ober-Reynolds and Jorg Goronzy and William J Greenleaf
Single-cell analyses unravel cell type–specific responses to a vitamin D analog in prostatic precancerous lesions,,10.1126/sciadv.abg5982,True,,2021,,Science Advances,False,,Mohamed A. Abu el Maaty and Elise Grelet and C{\'{e}}line Keime and Anna-Isavella Rerra and Justine Gantzer and Camille Emprou and Julie Terzic and R{\'{e}}gis Lutzing and Jean-Marc Bornert and Gilles Laverny and Daniel Metzger
Computational reconstruction of the signalling networks surrounding implanted biomaterials from single-cell transcriptomics,,10.1038/s41551-021-00770-5,True,Computational reconstruction of the signalling networks surrounding implanted biomaterials from single-cell transcriptomics.pdf,2021,,Nature Biomedical Engineering,True,SciHub,Christopher Cherry and David R. Maestas and Jin Han and James I. Andorko and Patrick Cahan and Elana J. Fertig and Lana X. Garmire and Jennifer H. Elisseeff
Single‐cell transcriptomes reveal heterogeneity of high‐grade serous ovarian carcinoma,,10.1002/ctm2.500,True,Single_cell transcriptomes reveal heterogeneity of high_grade serous ovarian carcinoma.pdf,2021,,Clinical and Translational Medicine,True,SciHub,Qian Hao and Jiajia Li and Qinghua Zhang and Fei Xu and Bangxiang Xie and Hua Lu and Xiaohua Wu and Xiang Zhou
Single-cell analysis reveals innate lymphoid cell lineage infidelity in atopic dermatitis,,10.1016/j.jaci.2021.07.025,True,Single-cell analysis reveals innate lymphoid cell lineage infidelity in atopic dermatitis.pdf,2022,,Journal of Allergy and Clinical Immunology,True,SciHub,Natalia Alkon and Wolfgang M. Bauer and Thomas Krausgruber and Issac Goh and Johannes Griss and Vy Nguyen and Baerbel Reininger and Christine Bangert and Clement Staud and Patrick M. Brunner and Christoph Bock and Muzlifah Haniffa and Georg Stingl
NGN2 induces diverse neuron types from human pluripotency,,10.1016/j.stemcr.2021.07.006,True,NGN2 induces diverse neuron types from human pluripotency.pdf,2021,,Stem Cell Reports,True,SciHub,Hsiu-Chuan Lin and Zhisong He and Sebastian Ebert and Maria SchÃ¶rnig and Malgorzata Santel and Marina T. Nikolova and Anne Weigert and Wulf Hevers and Nael Nadif Kasri and Elena Taverna and J. Gray Camp and Barbara Treutlein
SCITO-seq: single-cell combinatorial indexed cytometry sequencing,,10.1038/s41592-021-01222-3,True,SCITO-seq_ single-cell combinatorial indexed cytometry sequencing.pdf,2021,,Nature Methods,True,SciHub,Byungjin Hwang and David S. Lee and Whitney Tamaki and Yang Sun and Anton Ogorodnikov and George C. Hartoularos and Aidan Winters and Bertrand Z. Yeung and Kristopher L. Nazor and Yun S. Song and Eric D. Chow and Matthew H. Spitzer and Chun Jimmie Ye
Single cell RNA sequencing (scRNA-Seq) deciphering pathological alterations in streptozotocin-induced diabetic retinas,,10.1016/j.exer.2021.108718,True,Single cell RNA sequencing _scRNA-Seq_ deciphering pathological alterations in streptozotocin-induced diabetic retinas.pdf,2021,,Experimental Eye Research,True,SciHub,Licheng Sun and Ruonan Wang and Guangyi Hu and Huazhen Liu and Kangjia Lv and Yi Duan and Ning Shen and Jiali Wu and Jing Hu and Yujuan Liu and Qihuang Jin and Fang Zhang and Xun Xu
Single-Cell Transcriptome Profiling Reveals the Suppressive Role of Retinal Neurons in Microglia Activation Under Diabetes Mellitus,,10.3389/fcell.2021.680947,True,,2021,,Frontiers in Cell and Developmental Biology,False,,Yuhua Xiao and Xing Hu and Shuxin Fan and Jiawei Zhong and Xinzhi Mo and Xialin Liu and Youjin Hu
Single cell analysis of endometriosis reveals a coordinated transcriptional program driving immunotolerance and angiogenesis across eutopic and ectopic tissues.,,10.21203/rs.3.rs-745435/v1,True,,2021,,Research Square Platform {LLC},False,,Elise Courtois and Yuliana Tan and William Flynn and Santosh Sivajothi and Diane Luo and Suleyman Bozal and Anthony Luciano and Paul Robson and Danielle Luciano
The developing mouse coronal suture at single-cell resolution,,10.1038/s41467-021-24917-9,True,The developing mouse coronal suture at single-cell resolution.pdf,2021,,Nature Communications,True,SciHub,D'Juan T. Farmer and Hana Mlcochova and Yan Zhou and Nils Koelling and Guanlin Wang and Neil Ashley and Helena Bugacov and Hung-Jhen Chen and Riana Parvez and Kuo-Chang Tseng and Amy E. Merrill and Robert E. Maxson and Andrew O. M. Wilkie and J. Gage Crump and Stephen R. F. Twigg
Chronological genome and single-cell transcriptome integration characterizes the evolutionary process of adult T cell leukemia-lymphoma,,10.1038/s41467-021-25101-9,True,Chronological genome and single-cell transcriptome integration characterizes the evolutionary process of adult T cell leukemia-lymphoma.pdf,2021,,Nature Communications,True,SciHub,Makoto Yamagishi and Miyuki Kubokawa and Yuta Kuze and Ayako Suzuki and Akari Yokomizo and Seiichiro Kobayashi and Makoto Nakashima and Junya Makiyama and Masako Iwanaga and Takahiro Fukuda and Toshiki Watanabe and Yutaka Suzuki and Kaoru Uchimaru
Combined single cell proteomics and transcriptomics reveals discrete human tendon cells populations persist in vitro and on fibrous scaffolds,,10.1101/2021.08.09.455617,True,,2021,,Cold Spring Harbor Laboratory,False,,Adrian Kendal and Antonina Lach and Pierre-Alexis Mouthuy and Rick Brown and Constantinos Loizou and Mark Rogers and Robert Sharp and Andrew Carr
Molecular characteristics and spatial distribution of adult human corneal cell subtypes,,10.1038/s41598-021-94933-8,True,Molecular characteristics and spatial distribution of adult human corneal cell subtypes.pdf,2021,,Scientific Reports,True,SciHub,Ann J. Ligocki and Wen Fury and Christian Gutierrez and Christina Adler and Tao Yang and Min Ni and Yu Bai and Yi Wei and Guillermo L. Lehmann and Carmelo Romano
Spatial transcriptomics of planktonic and sessile bacterial populations at single-cell resolution,,10.1126/science.abi4882,True,,2021,,Science,False,,Daniel Dar and Nina Dar and Long Cai and Dianne K. Newman
Effects of sex and aging on the immune cell landscape as assessed by single-cell transcriptomic analysis,,10.1073/pnas.2023216118,True,,2021,,Proceedings of the National Academy of Sciences,False,,Zhaohao Huang and Binyao Chen and Xiuxing Liu and He Li and Lihui Xie and Yuehan Gao and Runping Duan and Zhaohuai Li and Jian Zhang and Yingfeng Zheng and Wenru Su
Chromatin and gene-regulatory dynamics of the developing human cerebral cortex at single-cell resolution,,10.1016/j.cell.2021.07.039,True,,2021,,Cell,False,,Alexandro E. Trevino and Fabian Müller and Jimena Andersen and Laksshman Sundaram and Arwa Kathiria and Anna Shcherbina and Kyle Farh and Howard Y. Chang and Anca M. Pașca and Anshul Kundaje and Sergiu P. Pașca and William J. Greenleaf
Single-cell analysis pinpoints distinct populations of cytotoxic CD4<sup>+</sup>T cells and an IL-10<sup>+</sup>CD109<sup>+</sup>T<sub>H</sub>2 cell population in nasal polyps,,10.1126/sciimmunol.abg6356,True,,2021,,Science Immunology,False,,Junjie Ma and Christopher A. Tibbitt and Susanna Kumlien Geor{\'{e}}n and Murray Christian and Ben Murrell and Lars-Olaf Cardell and Claus Bachert and Jonathan M. Coquet
Single cell multiomic analysis of T cell exhaustion in vitro,,10.1002/cyto.a.24496,True,Single cell multiomic analysis of T cell exhaustion in vitro.pdf,2021,,Cytometry Part A,True,SciHub,Mirko Corselli and Suraj Saksena and Margaret Nakamoto and Woodrow E. Lomas and Ian Taylor and Pratip K. Chattopadhyay
Mitogen‐activated protein kinase activity drives cell trajectories in colorectal cancer,,10.15252/emmm.202114123,True,,2021,,{EMBO} Molecular Medicine,False,,Florian Uhlitz and Philip Bischoff and Stefan Peidli and Anja Sieber and Alexandra Trinks and Mareen Lüthen and Benedikt Obermayer and Eric Blanc and Yana Ruchiy and Thomas Sell and Soulafa Mamlouk and Roberto Arsie and Tzu-Ting Wei and Kathleen Klotz-Noack and Roland F Schwarz and Birgit Sawitzki and Carsten Kamphues and Dieter Beule and Markus Landthaler and Christine Sers and David Horst and Nils Blüthgen and Markus Morkel
Neuroinflammatory astrocyte subtypes in the mouse brain,,10.1038/s41593-021-00905-6,True,Neuroinflammatory astrocyte subtypes in the mouse brain.pdf,2021,,Nature Neuroscience,True,SciHub,Philip Hasel and Indigo V. L. Rose and Jessica S. Sadick and Rachel D. Kim and Shane A. Liddelow
Village in a dish: a model system for population-scale hiPSC studies,,10.1101/2021.08.19.457030,True,,2021,,Cold Spring Harbor Laboratory,False,,Drew R. Neavin and Angela M. Steinmann and Han Sheng Chiu and Maciej S. Daniszewski and C{\'{a}}tia Moutinho and Chia-Ling Chan and Mubarika Tyebally and Vikkitharan Gnanasambandapillai and Chuan E. Lam and Uyen Nguyen and Dami{\'{a}}n Hern{\'{a}}ndez and Grace E. Lidgerwood and Alex W. Hewitt and Alice P{\'{e}}bay and Nathan J. Palpant and Joseph E. Powell
Cell type diversity in scallop adductor muscles revealed by single-cell RNA-Seq,,10.1016/j.ygeno.2021.08.015,True,,2021,,Genomics,False,,Xiujun Sun and Li Li and Biao Wu and Jianlong Ge and Yanxin Zheng and Tao Yu and Liqing Zhou and Tianshi Zhang and Aiguo Yang and Zhihong Liu
Type I interferon autoantibodies are associated with systemic immune alterations in patients with COVID-19,,10.1126/scitranslmed.abh2624,True,,2021,,Science Translational Medicine,False,,Monique G. P. van der Wijst and Sara E. Vazquez and George C. Hartoularos and Paul Bastard and Tianna Grant and Raymund Bueno and David S. Lee and John R. Greenland and Yang Sun and Richard Perez and Anton Ogorodnikov and Alyssa Ward and Sabrina A. Mann and Kara L. Lynch and Cassandra Yun and Diane V. Havlir and Gabriel Chamie and Carina Marquez and Bryan Greenhouse and Michail S. Lionakis and Philip J. Norris and Larry J. Dumont and Kathleen Kelly and Peng Zhang and Qian Zhang and Adrian Gervais and Tom Le Voyer and Alexander Whatley and Yichen Si and Ashley Byrne and Alexis J. Combes and Arjun Arkal Rao and Yun S. Song and Gabriela K. Fragiadakis and Kirsten Kangelaris and Carolyn S. Calfee and David J. Erle and Carolyn Hendrickson and Matthew F. Krummel and Prescott G. Woodruff and Charles R. Langelier and Jean-Laurent Casanova and Joseph L. Derisi and Mark S. Anderson and Chun Jimmie Ye and
CRISPRi screens in human astrocytes elucidate regulators of distinct inflammatory reactive states,,10.1101/2021.08.23.457400,True,,2021,,Cold Spring Harbor Laboratory,False,,Kun Leng and Indigo V.L. Rose and Hyosung Kim and Wenlong Xia and Wilber Romero-Fernandez and Brendan Rooney and Mark Koontz and Emmy Li and Yan Ao and Shinong Wang and Mitchell Krawczyk and Julia TCW and Alison Goate and Ye Zhang and Erik M. Ullian and Michael V. Sofroniew and Stephen P.J. Fancy and Matthew S. Schrag and Ethan S. Lippmann and Martin Kampmann
Inferring and perturbing cell fate regulomes in human cerebral organoids,,10.1101/2021.08.24.457460,True,,2021,,Cold Spring Harbor Laboratory,False,,Jonas S. Fleck and Sophie M.J. Jansen and Damian Wollny and Makiko Seimiya and Fides Zenk and Malgorzata Santel and Zhisong He and J. Gray Camp and Barbara Treutlein
Single-Cell RNA Sequencing Reveals Endothelial Cell Transcriptome Heterogeneity Under Homeostatic Laminar Flow,,10.1161/ATVBAHA.121.316797,True,,2021,,"Arteriosclerosis, Thrombosis, and Vascular Biology",False,,Ziqing Liu and Dana L. Ruter and Kaitlyn Quigley and Natalie T. Tanke and Yuchao Jiang and Victoria L. Bautch
Spatially organized multicellular immune hubs in human colorectal cancer,,10.1016/j.cell.2021.08.003,True,,2021,,Cell,False,,Karin Pelka and Matan Hofree and Jonathan H. Chen and Siranush Sarkizova and Joshua D. Pirl and Vjola Jorgji and Alborz Bejnood and Danielle Dionne and William H. Ge and Katherine H. Xu and Sherry X. Chao and Daniel R. Zollinger and David J. Lieb and Jason W. Reeves and Christopher A. Fuhrman and Margaret L. Hoang and Toni Delorey and Lan T. Nguyen and Julia Waldman and Max Klapholz and Isaac Wakiro and Ofir Cohen and Julian Albers and Christopher S. Smillie and Michael S. Cuoco and Jingyi Wu and Mei-ju Su and Jason Yeung and Brinda Vijaykumar and Angela M. Magnuson and Natasha Asinovski and Tabea Moll and Max N. Goder-Reiser and Anise S. Applebaum and Lauren K. Brais and Laura K. DelloStritto and Sarah L. Denning and Susannah T. Phillips and Emma K. Hill and Julia K. Meehan and Dennie T. Frederick and Tatyana Sharova and Abhay Kanodia and Ellen Z. Todres and Judit Jan{\'{e}}-Valbuena and Moshe Biton and Benjamin Izar and Conner D. Lambden and Thomas E. Clancy and Ronald Bleday and Nelya Melnitchouk and Jennifer Irani and Hiroko Kunitake and David L. Berger and Amitabh Srivastava and Jason L. Hornick and Shuji Ogino and Asaf Rotem and S{\'{e}}bastien Vigneau and Bruce E. Johnson and Ryan B. Corcoran and Arlene H. Sharpe and Vijay K. Kuchroo and Kimmie Ng and Marios Giannakis and Linda T. Nieman and Genevieve M. Boland and Andrew J. Aguirre and Ana C. Anderson and Orit Rozenblatt-Rosen and Aviv Regev and Nir Hacohen
Single-cell chromatin and transcriptome dynamics of Synovial Fibroblasts transitioning from homeostasis to pathology in modelled TNF-driven arthritis,,10.1101/2021.08.27.457747,True,,2021,,Cold Spring Harbor Laboratory,False,,Marietta Armaka and Dimitris Konstantopoulos and Christos Tzaferis and Matthieu D Lavigne and Maria Sakkou and Anastasios Liakos and Petros P Sfikakis and Meletios A Dimopoulos and Maria Fousteri and George Kollias
Diversity of developing peripheral glia revealed by single-cell RNA sequencing,,10.1016/j.devcel.2021.08.005,True,,2021,,Developmental Cell,False,,Ozge E. Tasdemir-Yilmaz and Noah R. Druckenbrod and Olubusola O. Olukoya and Weixiu Dong and Andrea R. Yung and Isle Bastille and Maria F. Pazyra-Murphy and Austen A. Sitko and Evan B. Hale and S{\'{e}}bastien Vigneau and Alexander A. Gimelbrant and Peter V. Kharchenko and Lisa V. Goodrich and Rosalind A. Segal
